N0582,N0816,N1594,N1882,N2550,N3375
0.125,0.057,0.384,0.076,0.123,0.274
0.125,0.101,0.187,0.156,0.124,0.279
0.115,0.108,0.173,0.104,0.126,0.117
0.135,0.108,0.153,0.073,0.124,0.097
0.14,0.108,0.16,0.079,0.125,0.094
0.134,0.108,0.162,0.071,0.124,0.065
0.107,0.102,0.143,0.111,0.125,0.061
0.105,0.064,0.184,0.148,0.126,0.088
0.104,0.038,0.158,0.07,0.129,0.072
0.098,0.063,0.159,0.074,0.129,0.105
0.068,0.085,0.154,0.07,0.13,0.135
0.073,0.082,0.161,0.074,0.128,0.111
0.215,0.085,0.173,0.12,0.126,0.108
0.157,0.113,0.176,0.146,0.126,0.064
0.148,0.107,0.228,0.071,0.156,0.068
0.171,0.109,0.312,0.07,0.144,0.083
0.18,0.101,0.321,0.068,0.311,0.07
0.187,0.067,0.442,0.068,0.177,0.068
0.175,0.076,0.284,0.126,0.167,0.411
0.185,0.089,0.39,0.13,0.157,0.307
0.183,0.08,0.809,0.069,0.149,0.387
0.169,0.081,0.974,0.216,0.177,0.565
0.214,0.081,1.008,0.319,0.141,0.319
0.156,0.082,0.521,0.647,0.211,0.366
0.151,0.081,0.194,0.812,0.141,0.293
0.12,0.1,0.217,0.74,0.123,0.273
0.209,0.109,0.186,0.179,0.168,0.296
0.106,0.108,0.207,0.15,0.138,0.36
0.106,0.108,0.202,0.213,0.221,0.478
0.14,0.108,0.201,0.608,0.164,0.32
0.176,0.106,0.201,0.554,0.134,1.244
0.175,0.067,0.196,0.685,0.132,0.805
0.581,0.052,0.216,0.568,0.122,0.448
0.324,0.077,0.196,0.583,0.122,0.432
0.291,0.083,0.245,0.669,0.121,0.397
0.356,0.082,0.229,0.615,0.21,0.465
0.361,0.082,0.236,0.583,0.277,1.245
0.27,0.078,0.234,0.151,0.384,0.846
0.239,0.088,0.225,0.154,0.273,0.488
0.24,0.094,0.246,0.148,0.221,0.625
0.388,0.069,0.21,0.233,0.218,0.679
0.173,0.085,0.253,0.328,0.259,0.413
0.157,0.109,0.234,0.151,0.213,0.398
0.148,0.106,0.221,0.153,0.158,0.433
0.202,0.106,0.229,0.214,0.126,0.339
0.213,0.099,0.226,0.243,0.134,0.312
0.205,0.082,0.476,0.292,0.134,0.366
0.162,0.082,0.289,0.107,0.127,0.237
0.138,0.051,0.302,0.081,0.125,0.327
0.131,0.04,0.203,0.075,0.127,0.343
