,iteration_1,iteration_2,iteration_3
batch_1,-0.1640625,-0.1796875,-0.046875
batch_2,-0.125,-0.078125,-0.140625
batch_3,-0.0390625,-0.1328125,-0.1484375
batch_4,-0.171875,-0.078125,-0.171875
batch_5,-0.1796875,-0.0234375,-0.1875
batch_6,0.015625,-0.109375,-0.265625
batch_7,-0.015625,-0.078125,-0.03125
batch_8,-0.1015625,-0.0625,-0.1640625
batch_9,0.0625,-0.046875,-0.125
batch_10,-0.1640625,-0.28125,-0.1796875
batch_11,-0.015625,-0.015625,-0.015625
batch_12,-0.1328125,-0.09375,-0.0078125
batch_13,-0.1328125,-0.1875,-0.046875
batch_14,-0.03125,-0.0390625,-0.046875
batch_15,-0.203125,-0.125,-0.0390625
batch_16,-0.1875,0.0,-0.125
batch_17,-0.09375,0.0078125,-0.0703125
batch_18,-0.1171875,-0.1171875,-0.109375
batch_19,-0.015625,-0.140625,0.0
batch_20,-0.0625,-0.0234375,-0.09375
batch_21,-0.09375,-0.078125,-0.140625
batch_22,-0.0390625,0.0625,-0.2578125
batch_23,-0.0234375,-0.0234375,-0.1640625
batch_24,-0.1328125,-0.1171875,-0.0703125
batch_25,-0.09375,-0.0703125,-0.1015625
batch_26,-0.109375,-0.1015625,-0.0078125
batch_27,-0.1796875,-0.0625,-0.15625
batch_28,-0.1015625,-0.1796875,-0.109375
batch_29,-0.0703125,0.0,-0.1015625
batch_30,-0.078125,-0.203125,-0.0703125
batch_31,-0.15625,-0.0390625,0.0
batch_32,-0.015625,0.078125,-0.078125
batch_33,-0.109375,0.0078125,-0.1328125
batch_34,-0.1015625,-0.015625,-0.046875
batch_35,-0.03125,-0.1171875,-0.1171875
batch_36,-0.125,-0.09375,-0.046875
batch_37,-0.0703125,-0.1953125,-0.2109375
batch_38,-0.0234375,-0.171875,-0.140625
batch_39,-0.171875,-0.046875,0.03125
batch_40,-0.125,-0.0078125,-0.0546875
batch_41,0.0,0.0234375,-0.09375
batch_42,-0.125,-0.0078125,0.0078125
batch_43,0.0234375,-0.1015625,-0.078125
batch_44,-0.0703125,-0.1171875,-0.0859375
batch_45,-0.03125,-0.0703125,-0.1484375
batch_46,-0.09375,-0.125,-0.109375
batch_47,-0.0625,-0.0390625,-0.1015625
batch_48,-0.2109375,-0.03125,-0.4296875
batch_49,-0.1484375,-0.109375,-0.015625
batch_50,0.0,0.109375,-0.109375
batch_51,-0.140625,-0.15625,-0.0859375
