,iteration_1
batch_1,-43.92646789550781
batch_2,-45.440574645996094
batch_3,-45.76136016845703
batch_4,-45.53590393066406
batch_5,-45.77653121948242
batch_6,-45.832489013671875
batch_7,-46.197757720947266
batch_8,-44.97542190551758
batch_9,-44.47872543334961
batch_10,-42.2183837890625
batch_11,-45.24686813354492
batch_12,-45.030113220214844
batch_13,-44.363162994384766
batch_14,-45.09664535522461
batch_15,-44.72038650512695
batch_16,-45.175201416015625
batch_17,-44.13215637207031
batch_18,-45.39535903930664
batch_19,-44.60089874267578
batch_20,-45.79508972167969
batch_21,-44.344032287597656
batch_22,-45.6370964050293
batch_23,-45.22920608520508
batch_24,-45.79159164428711
batch_25,-45.827545166015625
batch_26,-45.59999465942383
batch_27,-45.63417434692383
batch_28,-44.635406494140625
batch_29,-45.724937438964844
batch_30,-45.42138671875
batch_31,-45.26066970825195
batch_32,-46.66141891479492
batch_33,-46.252403259277344
batch_34,-45.57761001586914
batch_35,-46.02459716796875
batch_36,-44.101219177246094
batch_37,-44.435028076171875
batch_38,-45.34855651855469
batch_39,-44.356258392333984
batch_40,-43.85863494873047
batch_41,-42.783573150634766
batch_42,-46.28276824951172
batch_43,-45.58627700805664
batch_44,-45.29335403442383
batch_45,-45.20859909057617
batch_46,-45.52524948120117
batch_47,-45.99725341796875
batch_48,-45.572261810302734
batch_49,-45.86762237548828
batch_50,-45.168663024902344
batch_51,-44.08416748046875
batch_52,-44.607784271240234
batch_53,-46.11646270751953
batch_54,-46.067413330078125
batch_55,-45.290714263916016
batch_56,-45.03684997558594
batch_57,-45.12773895263672
batch_58,-44.5849494934082
batch_59,-45.011863708496094
batch_60,-44.759952545166016
batch_61,-46.68402862548828
batch_62,-45.214290618896484
batch_63,-46.267330169677734
batch_64,-46.691654205322266
batch_65,-44.973453521728516
batch_66,-45.69060134887695
batch_67,-44.24407196044922
batch_68,-45.37783432006836
batch_69,-45.45722961425781
batch_70,-45.809478759765625
batch_71,-45.75423049926758
batch_72,-45.49101638793945
batch_73,-46.19633102416992
batch_74,-46.269554138183594
batch_75,-45.675472259521484
batch_76,-45.29246520996094
batch_77,-45.85759735107422
batch_78,-44.47589111328125
batch_79,-46.06474685668945
batch_80,-45.666011810302734
batch_81,-45.321346282958984
batch_82,-45.95505905151367
batch_83,-46.55376052856445
batch_84,-45.924171447753906
batch_85,-45.909767150878906
batch_86,-45.909881591796875
batch_87,-45.93917465209961
batch_88,-46.432106018066406
batch_89,-46.1771354675293
batch_90,-45.775611877441406
